score,label,stratum_population
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.905,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.915,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.925,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.935,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.945,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.955,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.965,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.975,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.985,match,6000
0.995,match,6000
0.995,match,6000
0.995,match,6000
0.995,match,6000
0.995,match,6000
0.995,match,6000
0.995,match,6000
0.995,match,6000
0.995,match,6000
0.995,match,6000
0.995,match,6000
0.995,match,6000
0.995,non-match,6000
0.995,non-match,6000
0.995,non-match,6000
0.805,match,2500
0.805,match,2500
0.805,match,2500
0.805,match,2500
0.805,match,2500
0.805,match,2500
0.805,match,2500
0.805,match,2500
0.805,match,2500
0.805,match,2500
0.815,match,2500
0.815,match,2500
0.815,match,2500
0.815,match,2500
0.815,match,2500
0.815,match,2500
0.815,match,2500
0.815,match,2500
0.815,match,2500
0.815,match,2500
0.825,match,2500
0.825,match,2500
0.825,match,2500
0.825,match,2500
0.825,match,2500
0.825,match,2500
0.825,match,2500
0.825,match,2500
0.825,match,2500
0.825,match,2500
0.835,match,2500
0.835,match,2500
0.835,match,2500
0.835,match,2500
0.835,match,2500
0.835,match,2500
0.835,match,2500
0.835,match,2500
0.835,match,2500
0.835,match,2500
0.845,match,2500
0.845,match,2500
0.845,match,2500
0.845,match,2500
0.845,match,2500
0.845,match,2500
0.845,match,2500
0.845,match,2500
0.845,match,2500
0.845,match,2500
0.855,match,2500
0.855,match,2500
0.855,match,2500
0.855,match,2500
0.855,match,2500
0.855,match,2500
0.855,match,2500
0.855,match,2500
0.855,match,2500
0.855,match,2500
0.865,match,2500
0.865,match,2500
0.865,match,2500
0.865,match,2500
0.865,match,2500
0.865,match,2500
0.865,match,2500
0.865,match,2500
0.865,match,2500
0.865,match,2500
