Key,Summary,Status,Assignee,End Date
ITEM-001,a change,Waiting on Development,a role,
ITEM-002,a change,Waiting on Development,a role,2026-09-15
ITEM-003,a change,Waiting on Development,a role,TBD
ITEM-004,a change,Waiting on Development,a role,2026-09-15
ITEM-005,a change,Waiting on Development,a role,
ITEM-006,a change,Waiting on Development,a role,2026-09-15
ITEM-007,a change,Waiting on Development,a role,TBD
ITEM-008,a change,Waiting on Development,a role,2026-09-15
ITEM-009,a change,Waiting on Development,a role,
ITEM-010,a change,Waiting on Development,a role,2026-09-15
ITEM-011,a change,Waiting on Development,a role,TBD
ITEM-012,a change,Waiting on Development,a role,2026-09-15
ITEM-013,a change,Waiting on Development,a role,
ITEM-014,a change,Waiting on Development,a role,2026-09-15
ITEM-015,a change,Waiting on Development,a role,TBD
ITEM-016,a change,Waiting on Development,a role,2026-09-15
ITEM-017,a change,Waiting on Development,a role,
ITEM-018,a change,Waiting on Development,a role,2026-09-15
ITEM-019,a change,Waiting on Development,a role,TBD
ITEM-020,a change,Waiting on Development,a role,2026-09-15
ITEM-021,a change,Waiting on Development,a role,
ITEM-022,a change,Waiting on Development,a role,2026-09-15
ITEM-023,a change,Waiting on Development,a role,TBD
ITEM-024,a change,Waiting on Development,a role,2026-09-15
ITEM-025,a change,Waiting on Development,a role,
ITEM-026,a change,Waiting on Development,a role,2026-09-15
ITEM-027,a change,Waiting on Development,a role,TBD
ITEM-028,a change,Waiting on Development,a role,2026-09-15
ITEM-029,a change,Waiting on Development,a role,
ITEM-030,a change,Waiting on Development,a role,2026-09-15
ITEM-031,a change,Waiting on Development,a role,TBD
ITEM-032,a change,Waiting on Development,a role,2026-09-15
ITEM-033,a change,Waiting on Development,a role,
ITEM-034,a change,Waiting on Development,a role,2026-09-15
ITEM-035,a change,Waiting on Development,a role,TBD
ITEM-036,a change,Waiting on Development,a role,2026-09-15
ITEM-037,a change,Waiting on Development,a role,
ITEM-038,a change,Waiting on Development,a role,2026-09-15
ITEM-039,a change,Waiting on Development,a role,TBD
ITEM-040,a change,Waiting on Development,a role,2026-09-15
ITEM-041,a change,Waiting on Development,a role,
ITEM-042,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-043,a change,Waiting on Test Resource,a role,TBD
ITEM-044,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-045,a change,Waiting on Test Resource,a role,
ITEM-046,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-047,a change,Waiting on Test Resource,a role,TBD
ITEM-048,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-049,a change,Waiting on Test Resource,a role,
ITEM-050,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-051,a change,Waiting on Test Resource,a role,TBD
ITEM-052,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-053,a change,Waiting on Test Resource,a role,
ITEM-054,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-055,a change,Waiting on Test Resource,a role,TBD
ITEM-056,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-057,a change,Waiting on Test Resource,a role,
ITEM-058,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-059,a change,Waiting on Test Resource,a role,TBD
ITEM-060,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-061,a change,Waiting on Test Resource,a role,
ITEM-062,a change,Waiting on Test Resource,a role,2026-09-15
ITEM-063,a change,Waiting on Test Resource,a role,TBD
ITEM-064,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-065,a change,Waiting on QC Lead,a role,
ITEM-066,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-067,a change,Waiting on QC Lead,a role,TBD
ITEM-068,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-069,a change,Waiting on QC Lead,a role,
ITEM-070,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-071,a change,Waiting on QC Lead,a role,TBD
ITEM-072,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-073,a change,Waiting on QC Lead,a role,
ITEM-074,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-075,a change,Waiting on QC Lead,a role,TBD
ITEM-076,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-077,a change,Waiting on QC Lead,a role,
ITEM-078,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-079,a change,Waiting on QC Lead,a role,TBD
ITEM-080,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-081,a change,Waiting on QC Lead,a role,
ITEM-082,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-083,a change,Waiting on QC Lead,a role,TBD
ITEM-084,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-085,a change,Waiting on QC Lead,a role,
ITEM-086,a change,Waiting on QC Lead,a role,2026-09-15
ITEM-087,a change,In Testing,a role,TBD
ITEM-088,a change,In Testing,a role,2026-09-15
ITEM-089,a change,In Testing,a role,
ITEM-090,a change,In Testing,a role,2026-09-15
ITEM-091,a change,In Testing,a role,TBD
ITEM-092,a change,In Testing,a role,2026-09-15
ITEM-093,a change,In Testing,a role,
ITEM-094,a change,In Testing,a role,2026-09-15
ITEM-095,a change,In Testing,a role,TBD
ITEM-096,a change,In Testing,a role,2026-09-15
ITEM-097,a change,In Testing,a role,2026-09-15
